Date,201711,201711,201712,201712,201801,201801,201802,201802,201803,201803,201804,201804,201805,201805,201806,201806,201807,201807,201808,201808,201809,201809,201810,201810,201811,201811
Kind,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도
35,공개,14,영장,15,조사,15,개헌,13,회담,18,중단,16,연기,15,한미,14,김병준,17,반입,15,위원장,15,유시민,13,김정숙,7
36,출석,14,지시,15,훈련,15,결정,13,성폭행,18,사건,16,한미,14,북한,14,여야,16,주도,15,합의,15,의혹,13,여사,7
37,도발,14,제보,15,소환,15,민주당,13,남북,18,압수수색,16,폭파,14,공동,13,김성태,16,논란,14,지지율,14,부대,13,좌파,7
38,재판,14,위원장,15,올림픽,14,탈당,13,결정,17,추락,16,정상,13,당선,13,발언,16,추진,14,경제,14,완화,13,대북,7
39,이국,14,제재,14,추진,14,지원,13,영장,17,북미,16,여론조사,13,미래,13,평양,15,교체,14,검토,14,고용,13,지지율,7
40,구속영장,13,사실,14,출석,14,의혹,13,입장,16,여야,16,민주,13,경제,13,사단,15,합의,14,추진,14,논란,12,공개,7
41,영상,13,중국,14,채널,14,펜스,13,공개,16,상보,15,경찰,13,가능성,12,구성,14,조사,14,남북정상회담,14,공동,12,미사일,7
42,요구,13,내일,14,뇌물,14,대납,13,폭로,16,후보,15,원내대표,13,하나,12,세월호,14,압박,14,군사,13,나라,12,윤창,7
43,석방,13,류여해,14,위안부,14,한미,13,뇌물,15,혐의,14,요구,13,가족,12,사실,14,고위,14,정치,13,트럼프,12,모든,6
44,총격,13,출마,13,발표,14,추가,12,여사,15,공개,14,논란,12,총리,12,개혁,14,취소,14,방문,13,재판,12,조사,6
45,포항,13,공무원,13,공동,14,외교,12,여야,15,확정,14,조작,12,사실,12,보고,14,완화,13,내일,13,정치,12,양심,6
46,지진,13,증원,13,마식령,14,트럼프,12,서울시장,15,청와대,14,담판,12,민주,12,사망,14,가닥,13,유은혜,12,사립,12,우려,6
47,안봉,12,추진,13,선발,14,국회,12,발표,15,조종사,14,공개,12,협상,12,제재,13,북미,13,소득,12,세습,12,미군,6
48,한중,12,참사,13,평창올림픽,13,속보,12,북한,14,자금,14,논의,12,참패,12,박근혜,13,정치,13,총리,12,경찰,11,세력,6
49,논의,12,외교,13,판문점,13,농단,12,발언,14,선고,13,민주당,12,여론조사,11,농구,13,박근혜,13,성과,12,조명,11,위원장,6
