Date,201711,201711,201712,201712,201801,201801,201802,201802,201803,201803,201804,201804,201805,201805,201806,201806,201807,201807,201808,201808,201809,201809,201810,201810,201811,201811
Kind,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도,단어,빈도
0,대출,11,내년,11,거래,14,공장,10,관세,15,삼성,16,아파트,13,금리,13,전쟁,14,집값,16,주택,25,아파트,13,하락,6
1,주택,10,거래,11,거래소,9,군산,9,철강,10,조현민,15,한진,10,트럼프,8,무역,13,서울,14,대출,15,증시,11,삼성,5
2,인상,9,금리,9,집값,8,부실,7,아파트,9,한진,11,조양호,9,대출,8,최저임금,11,차량,10,부동산,12,주택,10,집값,5
3,최대,8,인상,9,강남,8,노조,7,희망,8,대한항공,11,대한항공,9,은행,8,기내식,10,화재,9,집값,12,코스피,8,시장,4
4,금리,8,대출,8,투자,8,문제,6,무역,8,주택,9,직원,8,시장,7,에어컨,10,대출,9,대책,12,서울,6,미세먼지,4
5,삼성,7,시장,7,실명,8,지원,6,퇴직,7,직원,7,압수수색,7,인상,7,아시아나,9,아파트,8,아파트,11,분양,5,대출,4
6,가계,7,폭탄,5,인상,7,일자리,5,트럼프,7,사과,7,서울,7,무역,6,보복,9,전기요금,8,신도시,10,최고,5,국민,3
7,강남,6,통화,5,최저임금,7,수출,5,폭탄,7,일가,7,하락,6,위기,6,관세,9,누진,7,추석,9,붕괴,5,최대,3
8,반도체,5,다시,5,서울,7,폭락,5,대출,6,대출,6,의혹,6,관세,6,전기,9,폭탄,7,강남,8,금리,5,고용,3
9,사상,5,삼성,5,최고,7,증시,5,경제,6,주식,6,시장,6,최대,6,미국,8,최대,6,임대,8,청약,5,국내,3
10,조사,5,세금,5,계좌,7,최고,5,전쟁,6,택배,6,조현민,5,경제,6,경제,7,리콜,6,세금,8,급락,5,경제,3
11,아파트,5,소득,5,주택,6,금리,5,군산,5,조양호,6,청약,5,집값,5,누진,7,문제,6,서울,7,하락,5,더블,3
12,내년,5,계좌,5,대책,6,세계,5,면제,5,현대차,5,수사,5,세계,5,직원,6,소득,6,공급,7,유류,5,최저,3
