범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 마산,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
폭력범죄,협박,"9,187","1,844",682,443,433,297,286,175,29,170,9,73,61,36,43,49,101,18,167,170,272,94,242,43,83,47,26,34,115,19,109,29,74,95,39,19,89,69,26,5,18,45,49,5,19,124,38,3,20,14,28,7,9,46,94,50,17,9,38,74,25,20,4,73,48,53,55,35,48,10,10,17,30,10,16,76,36,92,1,17,15,49,58,160,26,56,234,44,547
폭력범죄,약취 유인,190,45,6,6,12,5,4,1,1,3,-,-,2,2,-,-,6,-,5,1,10,1,1,2,-,1,1,1,5,-,1,9,9,3,2,-,1,-,-,-,-,-,2,-,1,1,1,-,-,-,-,1,-,-,2,-,-,1,3,1,1,-,-,3,-,1,2,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,3,-,-,4,-,14
폭력범죄,폭력행위등,"35,686","6,725","2,449","1,595","1,988",817,"1,045",906,71,462,10,144,220,183,131,171,395,114,591,577,"1,101",375,757,138,385,103,94,177,365,44,323,141,238,444,193,81,374,252,117,72,105,242,169,58,127,623,137,3,73,73,149,106,109,241,494,291,47,69,267,450,76,95,8,347,141,223,163,214,276,93,53,51,152,99,66,429,229,356,1,82,78,144,202,669,138,145,383,95,"2,477"
폭력범죄,공갈,"3,596",634,558,263,222,118,94,79,4,34,1,19,17,17,5,10,21,9,82,47,89,33,49,17,37,11,4,14,47,3,26,5,15,26,7,12,24,18,4,2,4,27,7,1,6,36,10,-,9,10,5,7,13,18,23,16,7,5,25,57,1,10,1,20,12,19,18,18,23,4,1,7,15,8,25,26,9,25,-,9,-,16,19,87,11,8,37,26,178
폭력범죄,손괴,"58,977","11,735","3,639","3,019","3,365","1,791","1,804","1,530",88,806,54,332,363,258,327,354,609,168,"1,158","1,060","1,497",649,"1,385",229,630,256,114,327,704,112,634,220,430,710,187,152,503,401,137,103,155,590,316,52,155,"1,120",303,15,79,105,152,74,196,322,798,274,95,82,334,498,89,118,13,434,254,354,420,235,581,147,67,67,206,101,87,551,344,604,-,105,129,323,286,"1,199",186,331,"1,018",144,"3,029"
지능범죄,직무유기,507,106,37,25,14,22,20,10,16,10,1,1,2,2,-,1,6,-,3,8,7,4,6,2,4,1,6,1,3,2,2,-,1,1,1,-,6,3,1,1,1,5,5,2,2,8,1,-,4,6,-,-,4,1,2,2,-,-,2,5,5,1,2,2,3,1,2,5,1,-,2,-,2,-,-,2,2,4,-,-,2,2,5,5,2,-,7,2,62
지능범죄,직권남용,401,98,28,14,12,10,14,12,2,7,-,1,1,-,2,1,3,-,5,7,12,3,4,1,6,-,3,2,2,3,2,-,3,4,-,-,3,2,1,1,2,3,1,1,1,7,3,-,3,1,-,-,1,1,4,-,1,1,3,7,-,2,-,1,1,-,1,2,1,2,2,-,2,-,1,4,1,3,-,-,2,5,3,4,1,2,10,2,40
지능범죄,증수뢰,247,57,15,8,11,10,3,-,1,2,2,2,1,2,-,1,1,1,3,2,3,17,2,5,1,-,-,-,3,-,-,-,3,2,-,-,2,4,1,-,1,2,8,-,2,2,1,-,5,-,1,-,2,2,-,-,-,-,-,-,1,4,-,3,-,-,1,2,-,-,1,1,-,-,4,4,-,2,-,-,1,-,1,2,-,2,1,2,24
지능범죄,통화,"1,822",801,75,84,121,30,72,17,1,36,6,11,10,9,3,6,19,6,17,45,32,15,21,5,26,5,3,1,22,2,26,1,8,24,4,9,6,4,-,-,1,6,6,-,2,20,7,-,1,2,3,1,2,3,14,1,-,-,2,3,1,3,-,6,7,3,10,1,6,-,1,2,5,3,-,7,-,4,-,1,2,2,6,12,2,2,14,4,61
지능범죄,문서 인장,"14,546","3,336","1,259",691,689,455,451,346,36,219,17,35,62,53,70,77,134,42,246,197,315,102,235,50,141,66,27,45,183,18,123,49,85,139,54,51,126,40,16,10,26,63,112,14,29,217,58,4,33,47,27,29,53,66,183,54,24,16,85,205,30,31,17,76,123,307,67,56,110,20,12,33,55,18,20,101,69,127,1,16,16,47,60,267,22,34,162,118,896
지능범죄,유가증권인지,282,125,5,9,14,3,4,3,2,12,1,2,4,4,1,3,3,1,5,1,6,7,4,-,-,-,-,2,-,-,3,-,8,2,1,1,5,2,-,-,-,1,-,-,-,2,-,-,-,3,-,-,2,2,2,1,-,-,1,3,-,1,-,1,1,-,-,1,-,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,2,12
지능범죄,사기,"247,293","53,879","20,533","11,507","13,141","7,669","7,250","5,606",487,"3,861",168,"1,295","1,355","1,229",942,"1,075","1,878",469,"5,727","4,229","5,749","2,453","4,197",722,"2,249",881,589,946,"3,312",354,"2,117",846,"1,888","2,638",792,489,"1,968",909,359,284,411,"1,450",780,169,538,"3,412",848,67,412,632,738,910,819,"1,167","3,031","1,371",280,364,"1,264","2,945",493,671,275,"1,579","1,190","1,213",992,"1,143","2,782",575,232,281,793,325,437,"2,100","1,418","2,611",51,431,601,"1,256","1,441","6,170",592,695,"2,734","2,097","14,465"
지능범죄,횡령,"46,734","13,314","2,980","1,725","2,763","1,416","1,216",794,122,"1,218",79,385,267,191,265,412,530,105,"1,084","1,038","1,231",443,912,160,557,193,69,191,655,107,525,178,400,482,132,125,496,145,43,37,109,241,256,26,78,437,140,11,55,68,112,77,125,314,573,178,46,37,118,365,69,52,23,208,156,146,154,140,297,73,23,39,90,47,51,252,190,357,2,51,52,180,165,708,74,122,439,235,"1,988"
