,Title,Score,Searching,VOD이용건수,해외영화제수상,국내영화제수상,관객수
116,명탐정 코난: 베이커가의 망령,9.26,3310,0,0,0,25705
117,바람계곡의 나우시카,9.26,5170,0,0,0,63551
118,도가니,9.26,97700,0,0,0,1267508
119,친정엄마,9.26,5310,0,0,0,129750
120,인생,9.26,19880,0,0,0,26688
121,또 하나의 약속,9.26,2060,0,0,0,117256
122,스피릿,9.26,10600,0,0,0,90821
123,쥬만지,9.26,16590,502,0,0,540402
124,에이트 빌로우,9.26,3090,0,0,0,6584
125,트루맛쇼,9.25,670,0,0,0,8428
126,땐뽀걸즈,9.25,257900,0,0,0,5095
127,동방불패,9.25,11490,0,0,0,359463
128,인크레더블,9.25,69100,16206,0,0,492585
129,석양에 돌아오다,9.25,220,0,0,0,0
130,인어 공주,9.25,36540,2987,1,0,258368
131,본 얼티메이텀,9.25,5570,0,1,0,762025
132,고 녀석 맛나겠다,9.25,2260,0,0,0,18292
133,뚜르: 내 생애 최고의 49일,9.25,20,0,0,0,5129
134,혹성탈출,9.25,17760,0,0,0,369005
135,하이 스쿨 뮤지컬: 졸업반,9.25,40,0,0,0,8154
136,브레이브하트,9.25,8670,0,2,0,500798
137,가위손,9.25,8830,0,0,0,77114
138,늑대와 춤을,9.25,1700,0,4,0,984978
139,로보캅,9.25,5980,0,0,0,282862
140,신데렐라 맨,9.25,2830,0,0,0,181614
141,니모를 찾아서 3D,9.25,50,0,0,0,0
142,잉여들의 히치하이킹,9.25,4640,0,0,0,15264
143,투게더,9.25,13340,0,0,0,45935
144,1987,9.25,78600,99610,0,0,1776877
145,로미오와 줄리엣,9.24,132000,0,0,0,267372
146,패밀리 맨,9.24,5400,0,0,0,200004
147,마이너리티 리포트,9.24,21120,0,0,0,1401000
148,인크레더블 2,9.24,159600,0,0,0,880533
149,갓파 쿠와 여름방학을,9.24,3800,0,0,0,17741
150,코코,9.24,77100,62123,0,0,1024250
151,집으로 가는 길,9.24,14250,0,0,0,30183
152,"나, 다니엘 블레이크",9.24,250,0,1,0,60048
153,엽문,9.24,15920,0,0,0,27791
154,오즈의 마법사,9.24,17480,0,1,0,0
155,크루즈 패밀리,9.23,1140,0,0,0,238425
156,스팅,9.23,10150,0,3,0,329335
157,쿨 러닝,9.23,3120,0,0,0,49222
158,어느 가족,9.23,18990,0,2,0,103000
159,보루토 - 나루토 더 무비,9.23,18990,6795,0,0,17676
160,해바라기,9.23,268600,0,0,0,295877
161,우리들,9.23,19170,0,0,0,27794
162,피아니스트의 전설,9.23,3260,0,0,0,0
163,명탐정 코난: 천공의 난파선,9.23,2300,0,0,0,118938
164,"광해, 왕이 된 남자",9.23,31970,0,0,0,3355700
165,빽 투 더 퓨쳐 2,9.23,260,0,0,0,180337
166,8월의 크리스마스,9.23,13300,0,0,0,422930
167,마지막 황제,9.23,7040,0,4,0,65708
168,킹콩을 들다,9.23,2670,0,0,0,397780
169,뮬란,9.23,23670,0,0,0,771194
170,"님아, 그 강을 건너지 마오",9.23,700,0,0,0,1140795
171,뷰티풀 마인드,9.23,30970,0,3,0,589882
172,가타카,9.23,17130,0,0,0,10993
173,아름다운 비행,9.23,1790,0,1,0,35509
174,극장판 헬로카봇 : 백악기 시대,9.23,660,64159,0,0,140401
175,바람과 함께 사라지다,9.23,21850,0,4,0,547698
176,리멤버 타이탄,9.23,2700,0,0,0,78331
177,해리 포터와 마법사의 돌,9.23,363600,7230,0,0,1585389
178,칼리토,9.22,1670,0,0,0,53717
179,밴디트,9.22,630,0,0,0,6064
180,온리 더 브레이브,9.22,4030,0,0,0,15953
181,백발마녀전,9.22,7950,0,0,0,99670
182,이웃집 토토로,9.22,25590,0,0,0,133862
183,저수지 게임,9.22,3130,0,0,0,47721
184,벤허,9.22,25030,5601,6,0,356087
185,특전 유보트,9.22,480,0,0,0,147452
186,똥파리,9.22,13250,0,0,0,62952
187,아저씨,9.22,228000,0,0,0,1863328
188,"서서평, 천천히 평온하게",9.22,2490,0,0,0,57346
189,서유기 - 월광보합,9.22,100,0,0,0,3456
190,보디가드,9.22,30590,0,0,0,747238
191,오아시스,9.22,42060,0,0,0,537068
192,로마의 휴일,9.22,27580,0,1,0,28160
193,시월애,9.22,219300,0,0,0,248597
194,하이 스피드! –프리! 스타팅 데이즈,9.22,219300,0,0,0,10627
195,타인의 삶,9.22,12080,0,1,0,36964
196,인셉션,9.21,72300,2668,1,0,2026998
197,시스터 액트,9.21,9640,0,0,0,0
198,첫 키스만 50번째,9.21,14940,0,0,0,148218
199,그랜 토리노,9.21,4790,0,0,0,71523
200,시간을 달리는 소녀,9.21,26430,0,0,0,38023
201,미쓰백,9.21,1234200,0,0,0,171530
202,페이스 오프,9.21,18140,0,0,0,716107
203,이집트 왕자,9.21,7030,0,0,0,613973
204,말아톤,9.21,10490,0,0,0,1552548
205,크림슨 타이드,9.21,1150,0,0,0,164971
206,대부 2,9.21,6140,0,4,0,0
207,미이라,9.21,18220,35225,0,0,909202
208,흑집사 : 북 오브 더 아틀란틱,9.21,30,0,0,0,14294
209,스쿨 오브 락,9.21,18730,0,0,0,55063
210,콘택트,9.21,5870,0,0,0,121124
211,대부 3,9.2,4300,0,0,0,273406
212,킹 오브 프리즘 프라이드 더 히어로,9.2,330,0,0,0,84260
213,나비 효과,9.2,32720,0,0,0,487040
214,하이큐!! 재능과 센스,9.2,470,0,0,0,15138
215,동급생,9.2,6870,0,0,0,17010
216,테이큰,9.2,25650,0,0,0,825364
217,핵소 고지,9.2,69000,0,0,0,60479
218,플립,9.2,37730,0,0,0,123030
219,러빙 빈센트,9.2,23650,0,0,0,212631
220,과속스캔들,9.19,10530,0,0,0,2390408
221,뻐꾸기 둥지 위로 날아간 새,9.19,6530,0,4,0,270190
222,분노의 역류,9.19,2530,0,0,0,162102
223,할머니는 일학년,9.19,190,0,0,0,0
224,천장지구,9.19,230300,0,0,0,99157
225,라디오 스타,9.19,2050,0,0,0,691408
226,영웅본색,9.19,23070,0,0,0,94604
227,헤드윅,9.19,33820,0,0,0,25300
228,파수꾼,9.19,37300,0,0,0,14826
229,내일을 향해 쏴라,9.19,3140,0,1,0,0
230,맨 오브 오너,9.18,14590,0,0,0,45747
231,록키 2,9.18,970,0,0,0,244234
232,JFK,9.18,2850,0,0,0,213727
233,아나스타샤,9.18,12770,0,1,0,169271
234,아메리칸 히스토리 X,9.18,1670,0,0,0,6919
235,이티,9.18,6100,0,2,0,618256
236,취권,9.18,3760,0,0,0,898561
237,공공의 적,9.18,14990,0,0,0,1161500
238,빠삐용,9.18,42900,0,0,0,343597
239,프레데터,9.18,62400,0,0,0,317754
240,"내 어깨 위 고양이, 밥",9.18,20360,0,0,0,10151
241,랜드 오브 마인,9.18,3810,0,0,0,4900
242,젝스키스 에이틴,9.18,250,0,0,0,29333
243,캐치 미 이프 유 캔,9.18,16560,0,0,0,724331
244,대부,9.18,38820,0,2,0,631242
245,네고시에이터,9.17,6970,0,0,0,96894
246,스타 이즈 본,9.17,994900,0,0,0,171131
247,말하는 건축가,9.17,760,0,0,0,31557
248,식코,9.17,2400,0,0,0,21287
249,빅,9.17,13400,0,0,0,28656
250,뽀로로 극장판 공룡섬 대모험,9.17,1290,49870,0,0,137767
251,일 포스티노,9.17,5730,0,0,0,13704
252,내 사랑,9.17,13500,0,0,0,158596
253,사랑과 영혼,9.17,11170,0,2,0,1532589
254,킹 오브 프리즘,9.17,1830,0,0,0,73057
255,카메라를 멈추면 안 돼!,9.17,390,0,0,0,14782
256,어 퓨 굿 맨,9.17,2710,0,0,0,123679
257,마스크,9.17,115000,0,0,0,147373
258,해피 투게더,9.17,24910,0,0,0,104211
259,태극기 휘날리며,9.17,21930,0,0,0,3509563
260,코치 카터,9.16,11260,0,0,0,33364
261,체인질링,9.16,2400,0,0,0,224289
262,그린 마일,9.16,28680,0,0,0,167497
263,극장판 쿠로코의 농구 라스트 게임,9.16,290,0,0,0,27805
264,귀향,9.16,21300,0,3,0,19444
265,사랑의 블랙홀,9.16,74000,0,0,0,8912
266,라이언,9.16,80400,0,0,0,35523
267,인사이드 잡,9.16,7050,0,0,0,4897
268,마틸다,9.16,132600,0,0,0,0
269,눈길,9.16,9930,0,0,0,29161
270,오베라는 남자,9.15,13460,0,0,0,43635
271,비상,9.15,41800,0,0,0,8327
272,후크,9.15,10340,0,0,0,281084
273,짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!,9.15,20,0,0,0,41600
274,플래툰,9.15,8810,0,3,0,576924
275,어바웃 타임,9.15,305900,5742,0,0,1368822
276,다키스트 아워,9.15,6840,0,1,0,26613
277,모아나,9.14,37390,32372,0,0,572295
278,파 앤드 어웨이,9.14,1990,0,0,0,180300
279,싸이코,9.14,7600,0,0,0,40291
280,제리 맥과이어,9.14,7810,0,1,0,448393
